"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PECUL23A000004",557.410163741543,-0.296369500620458,0.552242871575955,-0.536665144766283,0.591498936437604,1
"PECUL23A000011",943.901928407003,0.00504421390672623,0.186460188622349,0.027052498144484,0.978417861868367,1
"PECUL23A000017",308.99016498123,0.269535743318427,0.488552574706433,0.551702636057928,0.581152103624181,1
"PECUL23A000021",389.350898298656,0.0297717980521135,0.129021629760314,0.230750441669518,0.817508684012485,1
"PECUL23A000024",61.2082159688066,-0.368722114793094,0.792754689058775,-0.465115022190373,0.641849088803446,1
"PECUL23A000026",121.046475617243,-0.490410525839875,0.546359956629812,-0.897596026006266,0.369400958457459,1
"PECUL23A000030",311.762036941771,0.116143917879949,0.191490492707365,0.606525766568685,0.544165677576742,1
"PECUL23A000040",9338.21031028658,0.0426390079344289,0.142152348922456,0.299952890385852,0.764213089941663,1
"PECUL23A000044",102.724894447528,0.134518753643214,0.244785793129724,0.549536604732309,0.582637251190916,1
"PECUL23A000048",117.053244186012,-0.146424956472086,0.206623669946314,-0.708655288671096,0.478538417283421,1
"PECUL23A000050",1.67818991509292,-0.615160313559115,1.32708564979963,-0.463542284291894,0.642975713312743,NA
"PECUL23A000053",72.4097739970289,-0.298776308595192,0.554743089609514,-0.538585003024556,0.590173237874922,1
"PECUL23A000055",165.710991339278,0.197822711392797,0.268256011753535,0.737439992862302,0.460854822368154,1
"PECUL23A000057",21.5135106367773,0.495678406678143,0.528926196516038,0.937140965872189,0.34868605143992,1
"PECUL23A000059",253.730234866232,0.0632934944530708,0.332800252869452,0.190184634498757,0.849164451270762,1
"PECUL23A000062",133.218126947102,0.0242612489916051,0.230517511391573,0.105246880573829,0.916179911940381,1
"PECUL23A000066",11418.2079855148,0.106670289313082,0.417413680212483,0.255550535044233,0.798297917569278,1
"PECUL23A000072",119.954757694277,0.0525396870656989,0.147561161097274,0.356053630067766,0.721800402389595,1
"PECUL23A000075",779.91399326009,0.182597109771486,0.329190969881753,0.554684443006063,0.57911051892552,1
"PECUL23A000078",311.285674665423,0.137238303404528,0.19891090328948,0.689948620889834,0.490226498358832,1
"PECUL23A000079",131.871090272685,-0.0501154682184219,0.244973933490275,-0.204574697007146,0.837904426146617,1
"PECUL23A000080",13.4853252357869,0.172951332075394,0.456982450319903,0.378463838062758,0.705086052514105,1
"PECUL23A000084",4.92938232964697,1.1838916626801,1.74310295025944,0.679186311114839,0.49701981967356,1
"PECUL23A000086",592.502611645854,0.48744437184051,0.274663845050824,1.77469434227979,0.0759483700199677,0.798342148249997
"PECUL23A000091",855.708047185403,0.0550967085703429,0.415785653748869,0.132512288660207,0.894579103792786,1
"PECUL23A000093",13.162965037427,0.274729161740205,0.514222639806441,0.534261116631536,0.59316089009654,1
"PECUL23A000094",16.8755280172973,0.315245943260675,0.824972858717285,0.382128866337297,0.702365781369325,1
"PECUL23A000095",1.97414194231603,-1.58513444704166,1.22632523093126,-1.29258895361545,0.196153262145972,NA
"PECUL23A000096",14.1313837752918,-1.35847522597766,0.531791594783267,-2.55452556848197,0.0106332619866343,0.243725162968679
"PECUL23A000099",0.866430062734292,-2.52350088372255,1.72243979206822,-1.4650734936241,0.142900867517537,NA
"PECUL23A000104",118.379608330881,-0.238522520211009,0.232462362639666,-1.02606941400117,0.304858866123032,1
"PECUL23A000107",206.189170400322,0.0642888756210328,0.157699273309429,0.407667545143905,0.683517767714136,1
"PECUL23A000109",6.12554141856329,0.41871845334424,0.907758151013915,0.461266531043048,0.644607394123196,1
"PECUL23A000111",298.645550618199,0.410289510410028,0.333397109049906,1.23063307771098,0.218460128004519,1
"PECUL23A000117",205.317957347149,-0.231902052754158,0.390074905888876,-0.594506463382246,0.552173420610447,1
"PECUL23A000118",795.312644154802,0.413556583860739,0.20023502916586,2.0653558250199,0.0388893450850199,0.563985923221451
"PECUL23A000121",131.340154377092,0.0502367861161544,0.277982984375576,0.1807189250414,0.85658820333834,1
"PECUL23A000125",116.972769540975,0.0632439939029503,0.190669328977769,0.331694637213121,0.740119850532241,1
"PECUL23A000127",1061.69520206241,-0.522453131141355,0.310677847774533,-1.68165556341987,0.092635649481485,0.869613210890686
"PECUL23A000129",49.1348591398743,-0.272871006816181,0.311763855889017,-0.875249011910216,0.381438430596323,1
"PECUL23A000136",1285.06722807349,-0.0467797838685597,0.465209192069058,-0.10055644786489,0.919902570964508,1
"PECUL23A000142",274.157179495194,0.238046688205454,0.401314328976452,0.593167676849689,0.553068942151542,1
"PECUL23A000144",197.809008567584,0.0509717398515588,0.346838636922718,0.14696096231896,0.883162833249502,1
"PECUL23A000152",376.546377680831,-0.0147495862744185,0.101969247884138,-0.144647396940474,0.884989273379536,1
"PECUL23A000160",395.792989488816,-0.376878364665189,0.168444825467136,-2.23739947855341,0.0252602425943954,0.431201893278907
"PECUL23A000163",1559.25518524974,0.113238280884404,0.267771351297984,0.4228916959768,0.672374281719519,1
"PECUL23A000171",272.616067714898,0.0173686487793071,0.182543532672761,0.0951479821004848,0.924197286717481,1
"PECUL23A000177",709.784876424242,0.163441309644808,0.177686399150689,0.919830163850635,0.357661517880945,1
"PECUL23A000187",1024.31095615635,0.305118510679738,0.168497011357408,1.81082446639089,0.0701680277610042,0.770442081613725
"PECUL23A000193",2244.83979470584,0.117369472267143,0.128210031878128,0.915446869077375,0.359957082811692,1
"PECUL23A000194",7747.60067916886,0.220099500477969,0.474889309062669,0.463475374740272,0.643023661939471,1
"PECUL23A000197",1.56217441110211,-0.390549635185575,1.42214101103548,-0.274620893536577,0.783607512574553,NA
"PECUL23A000200",48.5048567758813,-0.604532645093521,0.663071268996823,-0.911715939687952,0.361918270844711,1
"PECUL23A000202",52.9115164575704,-0.210447062900603,0.284373569190272,-0.740037351220201,0.459277330722909,1
"PECUL23A000205",4.95590570478862,2.93473783755312,1.48111231574191,1.98144178963434,0.0475417512223061,0.629666665944333
"PECUL23A000206",127.117625197618,-0.0721903057388553,0.813279253408065,-0.0887644747315761,0.929269091263461,1
"PECUL23A000210",95.7085574585089,-0.134668537478541,0.6141219613124,-0.219286307870751,0.826427027090192,1
"PECUL23A000216",19.8573331212422,0.0688106665549694,0.363531164987535,0.189284092210716,0.849870162531419,1
"PECUL23A000222",110.885285157786,0.0450537588114104,0.209183266274637,0.215379363817081,0.829471557757633,1
"PECUL23A000223",64.3466325937738,0.219731746199974,0.318873068475559,0.689088442778968,0.490767612480171,1
"PECUL23A000225",61.5928698680312,-0.220170500519385,0.257927958602956,-0.853612387396539,0.393319792643734,1
"PECUL23A000230",383.469227569182,0.263331363945167,0.202204166414392,1.30230434226317,0.192812367865675,1
"PECUL23A000234",3.22997719439606,1.298299371392,1.06228860332858,1.22217198539446,0.22164259552882,1
"PECUL23A000241",1286.36481731659,0.0232279975413076,0.179697416924114,0.129261721948495,0.897150558736138,1
"PECUL23A000242",1523.65400468157,-1.38456143977618,0.39938129013861,-3.46676590507196,0.00052676043197756,0.0259405569092949
"PECUL23A000248",1002.14758138718,-0.0870322356962214,0.122818598886952,-0.708624235131765,0.478557692810827,1
"PECUL23A000252",23.8453664479181,0.126301507179879,0.396726118875497,0.318359445397432,0.750212297042437,1
"PECUL23A000253",46.0518791943081,-0.571196029200882,0.808236716727194,-0.706718733979119,0.47974128513106,1
"PECUL23A000257",1055.62161962596,-0.121328071599505,0.144031979613242,-0.842368978926052,0.399581451302933,1
"PECUL23A000260",358.359920325338,0.0286501771699092,0.13840738182037,0.206998909979328,0.836010709774593,1
"PECUL23A000261",5.2180620075858,-1.5232760555096,1.12288470166856,-1.35657387908668,0.174916646135445,1
"PECUL23A000264",440.321665534122,-0.0256226896193889,0.0947131323947765,-0.270529428934841,0.786752979646606,1
"PECUL23A000265",282.120540671932,0.0168791344205902,0.177911341784441,0.0948738526239722,0.924415025400895,1
"PECUL23A000267",2127.83341654564,-0.0855447635232411,0.098838056590187,-0.865504305471485,0.38676205383957,1
"PECUL23A000271",1.30479502624444,0.393911416836967,1.62205221582679,0.242847556319994,0.808123493454707,NA
"PECUL23A000273",249.299120679099,0.206560617420235,0.782105392878224,0.264108417230153,0.791696378099443,1
